IOName,Designation
R.S.AMBIGER   (WHC),WHC
LAXMIKANTHA S BANNIKOL  (PSI),PSI
Ayyanagouda V Patil (PI),PI
Ayyanagouda V Patil (PI),PI
B A TIPARADDI   (PSI),PSI
B A TIPARADDI   (PSI),PSI
G.H.KUPPI   (PSI),PSI
G.H.KUPPI   (PSI),PSI
Ayyanagouda V Patil (PI),PI
Ayyanagouda V Patil (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
B A TIPARADDI   (PSI),PSI
HOSAKERAPPA.K   (PI),PI
LAXMIKANTHA S BANNIKOL  (PSI),PSI
Ayyanagouda V Patil (PI),PI
B A TIPARADDI   (PSI),PSI
A.M.SALMANTAPI   (HC),HC
B A TIPARADDI   (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
R.S.AMBIGER   (WHC),WHC
R.S.AMBIGER   (WHC),WHC
ANAND H BHAGAVATI   (ASI),ASI
S.V.SANNSIDDANNAVAR   (HC),HC
D.H.YADAGERI   (HC),HC
R.S.AMBIGER   (WHC),WHC
R.S.AMBIGER   (WHC),WHC
HOSAKERAPPA.K   (PI),PI
Ayyanagouda V Patil (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Ayyanagouda V Patil (PI),PI
B A TIPARADDI   (PSI),PSI
B A TIPARADDI   (PSI),PSI
HOSAKERAPPA.K   (PI),PI
Ayyanagouda V Patil (PI),PI
HOSAKERAPPA.K   (PI),PI
Ayyanagouda V Patil (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Ayyanagouda V Patil (PI),PI
A.M.SALMANTAPI   (HC),HC
Ayyanagouda V Patil (PI),PI
P.A.JADAV   (PSI),PSI
P.A.JADAV   (PSI),PSI
B A TIPARADDI   (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
HOSAKERAPPA.K   (PI),PI
Ayyanagouda V Patil (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
Ayyanagouda V Patil (PI),PI
Ayyanagouda V Patil (PI),PI
Ayyanagouda V Patil (PI),PI
ANAND H BHAGAVATI   (ASI),ASI
B A TIPARADDI   (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
G.H.KUPPI   (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
P.A.JADAV   (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Ayyanagouda V Patil (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HANAMAPPA BHARAMAPPA YADABADAGI (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Ayyanagouda V Patil (PI),PI
R.S.AMBIGER   (WHC),WHC
R.S.AMBIGER   (WHC),WHC
G.H.KUPPI   (PSI),PSI
R.S.AMBIGER   (WHC),WHC
G.H.KUPPI   (PSI),PSI
B A TIPARADDI   (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
HANAMAPPA BHARAMAPPA YADABADAGI (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
R.S.AMBIGER   (WHC),WHC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
B A TIPARADDI   (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
G.H.KUPPI   (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
R.S.AMBIGER   (WHC),WHC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
S.V.SANNSIDDANNAVAR   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
S.V.SANNSIDDANNAVAR   (HC),HC
Ayyanagouda V Patil (PI),PI
Ayyanagouda V Patil (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Ayyanagouda V Patil (PI),PI
R.S.AMBIGER   (WHC),WHC
HOSAKERAPPA.K   (PI),PI
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
CHANDRAKANTHA NANDAREDDI  (Dy.SP),Dy.SP
G.H.KUPPI   (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
G.H.KUPPI   (PSI),PSI
G.H.KUPPI   (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
G.H.KUPPI   (PSI),PSI
D.H.YADAGERI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
CHANDRAKANTHA NANDAREDDI  (Dy.SP),Dy.SP
A.M.SALMANTAPI   (HC),HC
ANAND H BHAGAVATI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Ayyanagouda V Patil (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
R.S.AMBIGER   (WHC),WHC
ANAND H BHAGAVATI   (ASI),ASI
CHANDRAKANTHA NANDAREDDI  (Dy.SP),Dy.SP
Y.H.WALIKAR   (HC),HC
R.S.AMBIGER   (WHC),WHC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
R.S.AMBIGER   (WHC),WHC
R.S.AMBIGER   (WHC),WHC
D.H.YADAGERI   (HC),HC
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Ayyanagouda V Patil (PI),PI
CHANDRAKANTHA NANDAREDDI  (Dy.SP),Dy.SP
R.S.AMBIGER   (WHC),WHC
R.S.AMBIGER   (WHC),WHC
Ayyanagouda V Patil (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Ayyanagouda V Patil (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Y.H.WALIKAR   (HC),HC
ANAND H BHAGAVATI   (ASI),ASI
ANAND H BHAGAVATI   (ASI),ASI
ANAND H BHAGAVATI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Ayyanagouda V Patil (PI),PI
R.S.AMBIGER   (WHC),WHC
Suresh Bendegumbal   (PI),PI
R.S.AMBIGER   (WHC),WHC
HOSAKERAPPA.K   (PI),PI
ANAND H BHAGAVATI   (ASI),ASI
Ayyanagouda V Patil (PI),PI
R.S.AMBIGER   (WHC),WHC
HOSAKERAPPA.K   (PI),PI
R.S.AMBIGER   (WHC),WHC
Ayyanagouda V Patil (PI),PI
R.S.AMBIGER   (WHC),WHC
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
V.Y.PATIL   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
V.Y.PATIL   (ASI),ASI
HOSAKERAPPA.K   (PI),PI
Y.H.WALIKAR   (HC),HC
R.S.AMBIGER   (WHC),WHC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
R.S.AMBIGER   (WHC),WHC
HOSAKERAPPA.K   (PI),PI
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
V.Y.PATIL   (ASI),ASI
M.L.BAJANTRI   (ASI),ASI
Y.H.WALIKAR   (HC),HC
ANAND H BHAGAVATI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Y.H.WALIKAR   (HC),HC
R.S.AMBIGER   (WHC),WHC
S.B.BIRADAR   (ASI),ASI
Y.H.WALIKAR   (HC),HC
V.Y.PATIL   (ASI),ASI
V.Y.PATIL   (ASI),ASI
ANAND H BHAGAVATI   (ASI),ASI
Y.H.WALIKAR   (HC),HC
R.S.AMBIGER   (WHC),WHC
HOSAKERAPPA.K   (PI),PI
R.S.AMBIGER   (WHC),WHC
CHANDRAKANTHA NANDAREDDI  (Dy.SP),Dy.SP
ANAND H BHAGAVATI   (ASI),ASI
Y.H.WALIKAR   (HC),HC
HOSAKERAPPA.K   (PI),PI
HOSAKERAPPA.K   (PI),PI
ANAND H BHAGAVATI   (ASI),ASI
HOSAKERAPPA.K   (PI),PI
HOSAKERAPPA.K   (PI),PI
HOSAKERAPPA.K   (PI),PI
Suresh Bendegumbal   (PI),PI
R.S.AMBIGER   (WHC),WHC
HOSAKERAPPA.K   (PI),PI
M N SHIRAHATTI   (HC),HC
HOSAKERAPPA.K   (PI),PI
HOSAKERAPPA.K   (PI),PI
M N SHIRAHATTI   (HC),HC
R.S.AMBIGER   (WHC),WHC
SHIVANAND  SINGANNAVAR (PSI),PSI
HOSAKERAPPA.K   (PI),PI
HOSAKERAPPA.K   (PI),PI
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
R.S.AMBIGER   (WHC),WHC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
V.Y.PATIL   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
HOSAKERAPPA.K   (PI),PI
R.S.AMBIGER   (WHC),WHC
R.S.AMBIGER   (WHC),WHC
R.S.AMBIGER   (WHC),WHC
R.S.AMBIGER   (WHC),WHC
R.S.AMBIGER   (WHC),WHC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Y.H.WALIKAR   (HC),HC
CHANDRAKANTHA NANDAREDDI  (Dy.SP),Dy.SP
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
R.S.AMBIGER   (WHC),WHC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Y.H.WALIKAR   (HC),HC
HOSAKERAPPA.K   (PI),PI
CHANDRAKANTHA NANDAREDDI  (Dy.SP),Dy.SP
M.L.BAJANTRI   (ASI),ASI
MAHANTESH CHALAGERI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
CHANDRAKANTHA NANDAREDDI  (Dy.SP),Dy.SP
CHANDRAKANTHA NANDAREDDI  (Dy.SP),Dy.SP
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
ANAND H BHAGAVATI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
MAHANTESH CHALAGERI   (HC),HC
HOSAKERAPPA.K   (PI),PI
SANJAYKUMAR KALLUR   (PSI),PSI
Y.H.WALIKAR   (HC),HC
MAHANTESH CHALAGERI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
MAHANTESH CHALAGERI   (HC),HC
Suresh Bendegumbal   (PI),PI
M N SHIRAHATTI   (HC),HC
MAHANTESH CHALAGERI   (HC),HC
R G BHADRASHETTI   (HC),HC
R G BHADRASHETTI   (HC),HC
CHANDRAKANTHA NANDAREDDI  (Dy.SP),Dy.SP
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Y.H.WALIKAR   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
V.Y.PATIL   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
R G BHADRASHETTI   (HC),HC
MUTTURAJ.S.BAVIKATTI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
MUTTURAJ.S.BAVIKATTI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Y.H.WALIKAR   (HC),HC
MUTTURAJ.S.BAVIKATTI   (HC),HC
MUTTURAJ.S.BAVIKATTI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
I D WALIKAR   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
M N SHIRAHATTI   (HC),HC
I D WALIKAR   (HC),HC
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
ANAND H BHAGAVATI   (ASI),ASI
M.L.BAJANTRI   (ASI),ASI
M.L.BAJANTRI   (ASI),ASI
HOSAKERAPPA.K   (PI),PI
MUTTURAJ.S.BAVIKATTI   (HC),HC
MUTTURAJ.S.BAVIKATTI   (HC),HC
MUTTURAJ.S.BAVIKATTI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
MUTTURAJ.S.BAVIKATTI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
M.L.BAJANTRI   (ASI),ASI
HOSAKERAPPA.K   (PI),PI
Suresh Bendegumbal   (PI),PI
Suresh Bendegumbal   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
S A SAVADI   (PI),PI
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
R G BHADRASHETTI   (HC),HC
MAHANTESH CHALAGERI   (HC),HC
ANAND H BHAGAVATI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Y.H.WALIKAR   (HC),HC
Y.H.WALIKAR   (HC),HC
Y.H.WALIKAR   (HC),HC
Suresh Bendegumbal   (PI),PI
M N SHIRAHATTI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
R G BHADRASHETTI   (HC),HC
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Y.H.WALIKAR   (HC),HC
SANJAYKUMAR KALLUR   (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Y.H.WALIKAR   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
HOSAKERAPPA.K   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
PRABHUGOUDA   (Dy.SP),Dy.SP
SANJAYKUMAR KALLUR   (PSI),PSI
Suresh Bendegumbal   (PI),PI
S A SAVADI   (PI),PI
R G BHADRASHETTI   (HC),HC
R G BHADRASHETTI   (HC),HC
M.L.BAJANTRI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Y.H.WALIKAR   (HC),HC
Y.H.WALIKAR   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
V.Y.PATIL   (ASI),ASI
Suresh Bendegumbal   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
HOSAKERAPPA.K   (PI),PI
MUTTURAJ.S.BAVIKATTI   (HC),HC
Y.H.WALIKAR   (HC),HC
I D WALIKAR   (HC),HC
D.J.SHIVAPUR   (ASI),ASI
Suresh Bendegumbal   (PI),PI
Suresh Bendegumbal   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
V.Y.PATIL   (ASI),ASI
V.Y.PATIL   (ASI),ASI
D.J.SHIVAPUR   (ASI),ASI
M N SHIRAHATTI   (HC),HC
ANAND H BHAGAVATI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
MUTTURAJ.S.BAVIKATTI   (HC),HC
M N SHIRAHATTI   (HC),HC
Suresh Bendegumbal   (PI),PI
M N SHIRAHATTI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Suresh Bendegumbal   (PI),PI
Prashant Munnolli   (Dy.SP),Dy.SP
Prashant Munnolli   (Dy.SP),Dy.SP
Suresh Bendegumbal   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
S A SAVADI   (PI),PI
Suresh Bendegumbal   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
MUTTURAJ.S.BAVIKATTI   (HC),HC
MUTTURAJ.S.BAVIKATTI   (HC),HC
MUTTURAJ.S.BAVIKATTI   (HC),HC
ANAND H BHAGAVATI   (ASI),ASI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Suresh Bendegumbal   (PI),PI
MUTTURAJ.S.BAVIKATTI   (HC),HC
SHIVANAND  SINGANNAVAR (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
Suresh Bendegumbal   (PI),PI
Suresh Bendegumbal   (PI),PI
MUTTURAJ.S.BAVIKATTI   (HC),HC
R G BHADRASHETTI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
M N SHIRAHATTI   (HC),HC
V.Y.PATIL   (ASI),ASI
SHIVANAND  SINGANNAVAR (PSI),PSI
D.J.SHIVAPUR   (ASI),ASI
V.Y.PATIL   (ASI),ASI
MUTTURAJ.S.BAVIKATTI   (HC),HC
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
M N SHIRAHATTI   (HC),HC
M N SHIRAHATTI   (HC),HC
Suresh Bendegumbal   (PI),PI
Suresh Bendegumbal   (PI),PI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
PAMPANAGOUDA   (Dy.SP),Dy.SP
ANAND H BHAGAVATI   (ASI),ASI
SHIVANAND  SINGANNAVAR (PSI),PSI
D.J.SHIVAPUR   (ASI),ASI
D.J.SHIVAPUR   (ASI),ASI
SANJAYKUMAR KALLUR   (PSI),PSI
SANJAYKUMAR KALLUR   (PSI),PSI
MUTTURAJ.S.BAVIKATTI   (HC),HC
M N SHIRAHATTI   (HC),HC
SHIVANAND  SINGANNAVAR (PSI),PSI
R G BHADRASHETTI   (HC),HC
SHIVANAND  SINGANNAVAR (PSI),PSI
Suresh Bendegumbal   (PI),PI
ANAND H BHAGAVATI   (ASI),ASI
V.Y.PATIL   (ASI),ASI
V.Y.PATIL   (ASI),ASI
D.J.SHIVAPUR   (ASI),ASI
SANJAYKUMAR KALLUR   (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SANGAPPA  TOTAD (HC),HC
R G BHADRASHETTI   (HC),HC
SHIVANAND  SINGANNAVAR (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
Suresh Bendegumbal   (PI),PI
Suresh Bendegumbal   (PI),PI
SANJAYKUMAR KALLUR   (PSI),PSI
SANJAYKUMAR KALLUR   (PSI),PSI
S A SAVADI   (PI),PI
MUTTURAJ.S.BAVIKATTI   (HC),HC
Suresh Bendegumbal   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
V.Y.PATIL   (ASI),ASI
SHIVANAND  SINGANNAVAR (PSI),PSI
MUTTURAJ.S.BAVIKATTI   (HC),HC
SANJAYKUMAR KALLUR   (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SANJAYKUMAR KALLUR   (PSI),PSI
Suresh Bendegumbal   (PI),PI
Suresh Bendegumbal   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
SANJAYKUMAR KALLUR   (PSI),PSI
SANGAPPA  TOTAD (HC),HC
S A SAVADI   (PI),PI
V.Y.PATIL   (ASI),ASI
MUTTURAJ.S.BAVIKATTI   (HC),HC
SANJAYKUMAR KALLUR   (PSI),PSI
SANJAYKUMAR KALLUR   (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
S A SAVADI   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
MUTTURAJ.S.BAVIKATTI   (HC),HC
SHIVANAND  SINGANNAVAR (PSI),PSI
PRABHUGOUDA   (Dy.SP),Dy.SP
V.Y.PATIL   (ASI),ASI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
S A SAVADI   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SANJAYKUMAR KALLUR   (PSI),PSI
Suresh Bendegumbal   (PI),PI
S A SAVADI   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
S A SAVADI   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
ANAND H BHAGAVATI   (ASI),ASI
S A SAVADI   (PI),PI
S A SAVADI   (PI),PI
S A SAVADI   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
S A SAVADI   (PI),PI
S A SAVADI   (PI),PI
PRABHUGOUDA   (Dy.SP),Dy.SP
D.J.SHIVAPUR   (ASI),ASI
PRABHUGOUDA   (Dy.SP),Dy.SP
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
S A SAVADI   (PI),PI
S A SAVADI   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
S A SAVADI   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
I.H.DEVANAL   (HC),HC
I.H.DEVANAL   (HC),HC
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
MUTTURAJ.S.BAVIKATTI   (HC),HC
SHIVANAND  SINGANNAVAR (PSI),PSI
R.S.AMBIGER   (WHC),WHC
S A SAVADI   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
R.S.AMBIGER   (WHC),WHC
V.N.GOUDAR   (PSI),PSI
R.S.AMBIGER   (WHC),WHC
S A SAVADI   (PI),PI
V.Y.PATIL   (ASI),ASI
V.Y.PATIL   (ASI),ASI
SHIVANAND  SINGANNAVAR (PSI),PSI
S A SAVADI   (PI),PI
I.H.DEVANAL   (HC),HC
SANGAPPA  TOTAD (HC),HC
S A SAVADI   (PI),PI
V.N.GOUDAR   (PSI),PSI
S A SAVADI   (PI),PI
S A SAVADI   (PI),PI
S A SAVADI   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
V.N.GOUDAR   (PSI),PSI
A.Y.BILLUR   (ASI),ASI
SHIVANAND  SINGANNAVAR (PSI),PSI
S A SAVADI   (PI),PI
SANGAPPA  TOTAD (HC),HC
V.Y.PATIL   (ASI),ASI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
MUTTURAJ.S.BAVIKATTI   (HC),HC
A.Y.BILLUR   (ASI),ASI
A.Y.BILLUR   (ASI),ASI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SANGAPPA  TOTAD (HC),HC
S A SAVADI   (PI),PI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
MUTTURAJ.S.BAVIKATTI   (HC),HC
SHIVANAND  SINGANNAVAR (PSI),PSI
MUTTURAJ.S.BAVIKATTI   (HC),HC
SHIVANAND  SINGANNAVAR (PSI),PSI
S A SAVADI   (PI),PI
V.N.GOUDAR   (PSI),PSI
SANGAPPA  TOTAD (HC),HC
S.R.TONDIHAL   (HC),HC
SHIVANAND  SINGANNAVAR (PSI),PSI
V.N.GOUDAR   (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
SHIVANAND  SINGANNAVAR (PSI),PSI
